finance_event_date,posting_number,ozon_sku,internal_sku,buyer_paid_price_rub,seller_base_price_rub,ozon_bonus_rub,ozon_coinvestment_rub,observed_buyer_discount_rub,observed_buyer_discount_pct,invariant_check_rub,spp_semantics
2026-08-04,80015267-0527-1,3733452761,EVT-SET-4PC-ACNE,1804.76,3886.0,2063.19,18.05,2081.24,53.56,0.0,NOT_PROVEN
2026-08-04,38446414-0599-1,3892518031,EVT-HC-CHERRY-300,330.48,965.0,631.22,3.3,634.52,65.75,0.0,NOT_PROVEN
2026-08-05,97657494-0297-1,3530427102,EVT-FT-ACNE-150,309.23,903.0,590.68,3.09,593.77,65.76,0.0,NOT_PROVEN
2026-08-05,0223273019-0056-1,1991772098,EVT-FS-MOIST-30,313.64,959.0,642.22,3.14,645.36,67.3,0.0,NOT_PROVEN
2026-08-05,0186491498-0012-1,1991772098,EVT-FS-MOIST-30,365.71,959.0,593.29,0.0,593.29,61.87,0.0,NOT_PROVEN
2026-08-05,0215126714-0001-3,3733947454,EVT-SET-ACNE-POWDER-SERUM-CREAM,1143.94,2141.0,997.06,0.0,997.06,46.57,0.0,NOT_PROVEN
2026-08-05,0215126714-0001-2,3530427102,EVT-FT-ACNE-150,478.86,1128.0,649.14,0.0,649.14,57.55,0.0,NOT_PROVEN
2026-08-05,45223921-0097-1,3892518031,EVT-HC-CHERRY-300,339.05,965.0,622.56,3.39,625.95,64.87,0.0,NOT_PROVEN
2026-08-05,0136467475-0045-3,1994674912,EVT-FS-ACNE-30,317.34,929.0,608.49,3.17,611.66,65.84,0.0,NOT_PROVEN
2026-08-06,0208415347-0077-1,1994674912,EVT-FS-ACNE-30,318.1,929.0,607.72,3.18,610.9,65.76,0.0,NOT_PROVEN
2026-08-06,0140260783-0103-1,1997079254,EVT-HC-HAND-300,226.79,586.0,359.21,0.0,359.21,61.3,0.0,NOT_PROVEN
2026-08-06,94119088-0045-1,3530427102,EVT-FT-ACNE-150,426.67,1128.0,697.06,4.27,701.33,62.17,0.0,NOT_PROVEN
2026-08-06,0223481492-0184-1,3530427102,EVT-FT-ACNE-150,309.52,903.0,590.38,3.1,593.48,65.72,0.0,NOT_PROVEN
2026-08-06,33685950-0517-1,3528293526,EVT-FT-MOIST-150,303.09,886.0,579.88,3.03,582.91,65.79,0.0,NOT_PROVEN
2026-08-06,33685950-0517-3,3528293526,EVT-FT-MOIST-150,303.09,886.0,579.88,3.03,582.91,65.79,0.0,NOT_PROVEN
2026-08-07,0127292139-0792-1,1994674912,EVT-FS-ACNE-30,318.1,929.0,607.72,3.18,610.9,65.76,0.0,NOT_PROVEN
2026-08-07,68164701-0072-1,2974977988,EVT-FC-ACNE-50,444.76,1297.0,847.79,4.45,852.24,65.71,0.0,NOT_PROVEN
2026-08-08,72915247-0880-1,1994674912,EVT-FS-ACNE-30,290.48,847.0,553.62,2.9,556.52,65.7,0.0,NOT_PROVEN
2026-08-08,0265522284-0003-1,1991772098,EVT-FS-MOIST-30,326.67,953.0,623.06,3.27,626.33,65.72,0.0,NOT_PROVEN
2026-08-08,30007816-0087-1,3930712640,EVT-HC-AMBER-300,308.22,905.0,593.7,3.08,596.78,65.94,-0.0,NOT_PROVEN
2026-08-08,49341158-0067-1,1994674912,EVT-FS-ACNE-30,318.1,929.0,607.72,3.18,610.9,65.76,0.0,NOT_PROVEN
2026-08-08,21599377-0481-1,1997079254,EVT-HC-HAND-300,305.66,900.0,591.28,3.06,594.34,66.04,0.0,NOT_PROVEN
2026-08-08,0140661284-0013-6,3543342130,EVT-EP-ENZYME-75,318.29,930.0,608.53,3.18,611.71,65.78,0.0,NOT_PROVEN
2026-08-08,45950858-0577-1,3892518031,EVT-HC-CHERRY-300,330.48,965.0,631.22,3.3,634.52,65.75,0.0,NOT_PROVEN
2026-08-08,48277024-1448-1,3735674506,EVT-SET-TON-SER-CREAM-ACNE,1091.08,2100.0,1008.92,0.0,1008.92,48.04,0.0,NOT_PROVEN
2026-08-08,19219798-0308-1,3530427102,EVT-FT-ACNE-150,325.71,950.0,621.03,3.26,624.29,65.71,0.0,NOT_PROVEN
2026-08-08,0165818245-0019-1,3530427102,EVT-FT-ACNE-150,361.9,950.0,588.1,0.0,588.1,61.91,0.0,NOT_PROVEN
2026-08-08,45076539-1541-1,3930712640,EVT-HC-AMBER-300,26.96,898.0,870.77,0.27,871.04,97.0,0.0,NOT_PROVEN
2026-08-08,46083531-0525-5,3732641694,EVT-SET-SER-CREAM-ACNE,713.54,1180.0,459.32,7.14,466.46,39.53,0.0,NOT_PROVEN
