created_date,posting_number,order_id,order_number,status,substatus,ozon_sku,offer_id,internal_sku,quantity,price,old_price,total_discount_value,commission_amount,payout,is_cancelled,cancel_reason_id,source_raw_file
2026-07-05,89229907-0328-1,37049752643,89229907-0328,delivered,posting_received,3735674506,910584041,EVT-SET-TON-SER-CREAM-ACNE,1,2110.0,6451.7,4341.7,,1244.9,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-05,0180077689-0909-3,36834651145,0180077689-0909,delivered,posting_received,1991772098,305101272,EVT-FS-MOIST-30,1,1060.0,3165.95,2105.95,,625.4,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-05,0165406503-0109-1,36579421831,0165406503-0109,delivered,posting_received,3930712640,593111985,EVT-HC-AMBER-300,1,1230.0,3807.37,2577.37,,725.7,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-05,39386723-2410-1,37581917779,39386723-2410,cancelled,posting_canceled,3528293526,535581674,EVT-FT-MOIST-150,1,1161.0,3656.44,2495.44,,0.0,yes,504,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-05,56930840-1301-1,37202794632,56930840-1301,delivered,posting_received,3892345516,930334395,EVT-SET-HAND-CHERRY,1,1416.0,4365.58,2949.58,,835.44,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-06,96493684-0408-2,37206090116,96493684-0408,delivered,posting_received,3733452761,868597351,EVT-SET-4PC-ACNE,1,3014.0,9306.239999999998,6292.239999999999,,1778.26,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-06,0108994661-0444-1,37007420101,0108994661-0444,delivered,posting_received,3733452761,868597351,EVT-SET-4PC-ACNE,1,3014.0,9428.130000000001,6414.13,,1778.26,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-07,77299780-0197-3,37319440068,77299780-0197,delivered,posting_received,3735674506,910584041,EVT-SET-TON-SER-CREAM-ACNE,1,2989.0,15377.28,12388.28,,1763.51,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-07,77299780-0197-5,37319440068,77299780-0197,delivered,posting_received,3735674506,910584041,EVT-SET-TON-SER-CREAM-ACNE,1,2989.0,15377.28,12388.28,,1763.51,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-07,77299780-0197-7,37319440068,77299780-0197,delivered,posting_received,3735674506,910584041,EVT-SET-TON-SER-CREAM-ACNE,1,2989.0,15377.28,12388.28,,1763.51,no,,raw/backfill_v1/seller/posting_fbo_202607.json
2026-07-07,45950858-0570-5,36888031930,45950858-0570,delivered,posting_received,3892518031,593111986,EVT-HC-CHERRY-300,1,1176.0,4295.62,3119.62,,693.84,no,,raw/backfill_v1/seller/posting_fbo_202607.json
