date,campaign_id,campaign_group,campaign_state_current,expense_rub,bonus_expense_rub,subscription_expense_rub,impressions,clicks,orders,revenue,ctr,cpc,drr_api_if_present,source_raw_file
2026-06-18,27307535,EVETIS_CPC_LEGACY,ARCHIVED,50.22,0.0,0.0,431,6,0,0.0,1.3921,8.37,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260618.csv
2026-06-18,27307598,EVETIS_CPC_LEGACY,ARCHIVED,40.64,0.0,0.0,252,9,0,0.0,3.5714,4.5156,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260618.csv
2026-06-18,27443733,EVETIS_CPC_LEGACY,ARCHIVED,174.14,0.0,0.0,1226,26,0,0.0,2.1207,6.6977,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260618.csv
2026-06-19,27251978,EVETIS_CPC_LEGACY,ARCHIVED,55.49,0.0,0.0,335,10,0,0.0,2.9851,5.549,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260619.csv
2026-06-19,27307535,EVETIS_CPC_LEGACY,ARCHIVED,37.88,0.0,0.0,350,4,0,0.0,1.1429,9.47,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260619.csv
2026-06-19,27307598,EVETIS_CPC_LEGACY,ARCHIVED,32.06,0.0,0.0,201,4,0,0.0,1.99,8.015,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260619.csv
2026-06-19,27443733,EVETIS_CPC_LEGACY,ARCHIVED,123.54,0.0,0.0,960,20,0,0.0,2.0833,6.177,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260619.csv
2026-06-20,27251978,EVETIS_CPC_LEGACY,ARCHIVED,77.13,0.0,0.0,309,18,1,1000.0,5.8252,4.285,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260620.csv
2026-06-20,27307535,EVETIS_CPC_LEGACY,ARCHIVED,29.22,0.0,0.0,331,4,1,1200.0,1.2085,7.305,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260620.csv
2026-06-20,27307598,EVETIS_CPC_LEGACY,ARCHIVED,16.58,0.0,0.0,203,4,0,0.0,1.9704,4.145,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260620.csv
2026-06-20,27443733,EVETIS_CPC_LEGACY,ARCHIVED,127.92,0.0,0.0,926,20,0,0.0,2.1598,6.396,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260620.csv
2026-06-21,27251978,EVETIS_CPC_LEGACY,ARCHIVED,40.89,0.0,0.0,362,9,0,0.0,2.4862,4.5433,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260621.csv
2026-06-21,27307535,EVETIS_CPC_LEGACY,ARCHIVED,55.33,0.0,0.0,314,8,0,0.0,2.5478,6.9162,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260621.csv
2026-06-21,27307598,EVETIS_CPC_LEGACY,ARCHIVED,35.72,0.0,0.0,241,7,0,0.0,2.9046,5.1029,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260621.csv
2026-06-21,27443733,EVETIS_CPC_LEGACY,ARCHIVED,168.06,0.0,0.0,1037,24,0,0.0,2.3144,7.0025,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260621.csv
2026-06-22,27251978,EVETIS_CPC_LEGACY,ARCHIVED,47.58,0.0,0.0,445,14,0,0.0,3.1461,3.3986,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260622.csv
2026-06-22,27307535,EVETIS_CPC_LEGACY,ARCHIVED,120.75,0.0,0.0,438,15,0,0.0,3.4247,8.05,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260622.csv
2026-06-22,27307598,EVETIS_CPC_LEGACY,ARCHIVED,40.19,0.0,0.0,236,11,0,0.0,4.661,3.6536,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260622.csv
2026-06-22,27443733,EVETIS_CPC_LEGACY,ARCHIVED,210.81,0.0,0.0,934,28,0,0.0,2.9979,7.5289,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260622.csv
2026-06-23,27251978,EVETIS_CPC_LEGACY,ARCHIVED,32.94,0.0,0.0,384,7,0,0.0,1.8229,4.7057,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260623.csv
2026-06-23,27307535,EVETIS_CPC_LEGACY,ARCHIVED,43.12,0.0,0.0,380,6,0,0.0,1.5789,7.1867,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260623.csv
2026-06-23,27307598,EVETIS_CPC_LEGACY,ARCHIVED,61.49,0.0,0.0,321,15,0,0.0,4.6729,4.0993,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260623.csv
2026-06-23,27443733,EVETIS_CPC_LEGACY,ARCHIVED,110.13,0.0,0.0,965,17,0,0.0,1.7617,6.4782,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260623.csv
